step,train_loss,test_loss,test_acc
0,0.10041891783475876,0.0918847806751728,25.16
200,0.0004363858897704631,0.016344047524034976,91.74
400,6.20234859525226e-05,0.01600519008934498,91.62
600,2.0889647203148343e-05,0.015961676370352507,91.65
800,1.4466083484876435e-05,0.015945498645305634,91.61
1000,1.4281505173130427e-05,0.015944731421768665,91.56
1200,7.247176836244762e-05,0.015956986416131257,91.52
1400,2.5484911020612344e-05,0.015665151458233596,91.56
1600,5.951515959168319e-06,0.01571193840354681,91.62
1800,0.00012124040949856862,0.015615473501384258,91.56
2000,4.751537198899314e-05,0.01563479397445917,91.43
2200,1.818158125388436e-05,0.015548852179199458,91.46
2400,9.115618013311177e-06,0.015538201574236155,91.54
2600,0.00010161702812183648,0.015466655977070332,91.43
2800,5.284295184537768e-06,0.015303317271173001,91.46
3000,8.728079592401627e-06,0.0153077257797122,91.38
3200,7.703784649493173e-05,0.015289718843996524,91.51
3400,2.8255408324184828e-05,0.015301708318293094,91.4
3600,1.076856551662786e-05,0.01520593287423253,91.49
3800,2.1138821466593072e-05,0.015232011210173368,91.53
4000,5.824395702802576e-05,0.015088054165244103,91.27
4200,3.0831442927592434e-06,0.015021015610545873,91.33
4400,6.68801658321172e-06,0.015035288780927658,91.33
4600,0.00015725119737908244,0.0151552002876997,91.37
4800,6.833625320723513e-06,0.014798994921147824,91.28
5000,8.785151521806256e-07,0.014811602979898452,91.35
5200,1.0813589142344426e-05,0.014862270560115576,91.32
5400,5.757710459874943e-05,0.014903058018535375,91.23
5600,2.2001779143465683e-05,0.014829039108008146,91.37
5800,1.5351961337728426e-05,0.014829079620540142,91.31
6000,2.399340019110241e-06,0.014846560452133417,91.37
6200,1.745454574120231e-05,0.01485589137300849,91.33
6400,8.628265641164035e-05,0.014864526130259037,91.16
6600,2.9053553589619696e-06,0.01484608119353652,91.26
6800,4.426376108312979e-06,0.01484912671148777,91.2
7000,4.182408156339079e-05,0.01487640542909503,91.13
7200,3.970048055634834e-05,0.0147211330011487,90.98
7400,7.078653538883373e-07,0.014725911617279052,91.13
7600,2.915947447945655e-07,0.014722278527915477,91.13
7800,2.9269665446918225e-06,0.014744415413588285,91.11
8000,2.1780630049761385e-05,0.01490217838436365,91.02
8200,1.2758797538481303e-06,0.014906257204711438,91.07
8400,2.1171319986024173e-06,0.014933096989989281,91.02
8600,1.8900407667388208e-05,0.01499218586832285,91.11
8800,3.974630817538127e-05,0.014951384346932172,90.94
9000,6.795032163608994e-07,0.014922551903873682,90.89
9200,3.7860695556446444e-07,0.01492925053462386,90.89
9400,5.208627840147528e-07,0.014939078874886037,90.92
9600,1.336006880592322e-05,0.014933525305241346,90.91
9800,7.866970008763019e-06,0.015148704964667558,90.82
